Symbol;Direction;Indicator;IndicatorDisplay;ParamA;ParamB;Length;Factor;ATRStopMult;ATRStopMultValue;MinHoldBars;HTF;FinalEquity;Trades;WinRate;MaxDrawdown
BTC/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;12;3h;14261,548895425378;54;0,7777777777777778;76,70136110360727
BTC/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;1.5;1,5;0;3h;14079,92236302897;37;0,5675675675675675;108,59097490756903
ETH/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;24;3h;14154,114445936466;37;0,7027027027027027;85,2448687240776
ETH/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;12;3h;14346,690110853613;56;0,8035714285714286;135,45768253194183
SOL/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;12;3h;14619,544189129525;63;0,8412698412698413;136,98011662024146
SOL/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;12;3h;14571,363937829623;65;0,8461538461538461;123,07982528445609
XRP/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;3h;13929,156862387175;47;0,6595744680851063;255,48391663527946
XRP/USDC;Short;htf_crossover;HTF Crossover;14;3,0;;;1.0;1,0;24;3h;13875,326417129534;26;0,34615384615384615;143,07075122613605
LINK/USDC;Long;htf_crossover;HTF Crossover;14;3,0;;;1.0;1,0;0;3h;14295,139151916344;34;0,6470588235294118;34,07076725147999
LINK/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;12;3h;14253,936209489215;54;0,7962962962962963;137,37815218424294
SUI/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;24;3h;14540,88096648304;77;0,8441558441558441;397,1364714347219
SUI/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;3h;14230,464037148326;50;0,82;292,3543333288617
ZEC/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;3h;14129,159655925514;5;1,0;0,0
ZEC/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;1.0;1,0;0;3h;13952,513144660661;3;0,3333333333333333;13,016761163238698
TNSR/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;2.0;2,0;24;3h;14126,455204251375;51;0,6862745098039216;190,6022241896244
TNSR/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;24;3h;14360,522726319105;49;0,8367346938775511;275,33227747645833
ADA/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;24;3h;14043,499322280473;38;0,7631578947368421;407,0376561575995
ADA/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;24;3h;14392,590636967177;63;0,8412698412698413;174,7886041432812
ICP/USDC;Long;htf_crossover;HTF Crossover;14;3,0;;;1.0;1,0;24;3h;13859,392844810405;31;0,2903225806451613;136,5118957190425
ICP/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;3h;14224,146733312718;47;0,7872340425531915;221,71971674809902
BNB/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;3h;14220,752046691583;45;0,7555555555555555;112,47239709320638
BNB/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;3h;14306,72775732488;42;0,8333333333333334;110,9071893375476
LUNC/USDT;Long;htf_crossover;HTF Crossover;14;3,0;;;1.0;1,0;0;3h;14142,44617343672;35;0,45714285714285713;135,78013390686465
LUNC/USDT;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;24;3h;14143,472992264258;42;0,8095238095238095;320,22897695661777
