Symbol;Direction;Indicator;IndicatorDisplay;ParamA;ParamB;Length;Factor;ATRStopMult;ATRStopMultValue;MinHoldBars;HTF;FinalEquity;Trades;WinRate;MaxDrawdown
BTC/USDC;Long;htf_crossover;HTF Crossover;14;4,0;;;2.0;2,0;12;6h;14518,085197514718;38;0,7894736842105263;32,31336818990167
BTC/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;1.5;1,5;0;6h;14385,077148210665;46;0,7391304347826086;31,485753701923386
ETH/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;6h;14646,779159647445;54;0,8333333333333334;97,03923886174198
ETH/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;6h;14764,389867699101;50;0,92;71,58165704914609
SOL/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;12;6h;14730,317248691217;48;0,9375;81,45110099809062
SOL/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;24;6h;14700,881675580695;50;0,92;44,71886155330503
XRP/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;6h;14832,673378968258;58;0,8448275862068966;87,96762783876511
XRP/USDC;Short;htf_crossover;HTF Crossover;14;4,0;;;2.0;2,0;12;6h;14627,884501275546;44;0,8636363636363636;45,95819732850396
LINK/USDC;Long;htf_crossover;HTF Crossover;14;4,0;;;2.0;2,0;12;6h;14820,147483610377;39;0,8717948717948718;33,58412988161581
LINK/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;6h;15264,300275916667;66;0,9545454545454546;24,824072903385968
SUI/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;2.0;2,0;24;6h;15169,614609613083;54;0,9074074074074074;102,27419580386959
SUI/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;6h;14892,108933877256;69;0,9710144927536232;94,3976681689328
ZEC/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;6h;14098,207926776033;5;1,0;0,0
ZEC/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;6h;14042,292192744582;2;1,0;0,0
TNSR/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;1.0;1,0;0;6h;14658,085988397363;43;0,6976744186046512;34,23628693169485
TNSR/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;1.5;1,5;0;6h;15164,719209093633;50;0,92;20,92813532600121
ADA/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;6h;15167,389558627669;58;0,9310344827586207;100,94436095935089
ADA/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;2.0;2,0;24;6h;14743,577044828407;49;0,8775510204081632;25,733875441041164
ICP/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;12;6h;14894,757720779073;64;0,890625;137,29382234444893
ICP/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;6h;14889,435023788586;57;0,9473684210526315;48,720940168563175
BNB/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;6h;14558,046751192192;46;0,8695652173913043;152,6244312522722
BNB/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;12;6h;14838,443901680092;50;0,94;32,15313237928967
LUNC/USDT;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;6h;14526,892101923722;45;0,8666666666666667;187,31136072884146
LUNC/USDT;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;12;6h;14431,73960644663;44;0,9318181818181818;297,9792772900346
