Symbol;Direction;Indicator;IndicatorDisplay;ParamA;ParamB;Length;Factor;ATRStopMult;ATRStopMultValue;MinHoldBars;HTF;FinalEquity;Trades;WinRate;MaxDrawdown
BTC/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;1.5;1,5;0;1h;14065,40656242845;226;0,4911504424778761;235,51704009546484
BTC/USDC;Short;htf_crossover;HTF Crossover;14;4,0;;;1.0;1,0;24;1h;13957,257073283627;173;0,36416184971098264;243,43114324260932
ETH/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;24;1h;13844,342608200093;199;0,678391959798995;754,7935818122296
ETH/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;1.0;1,0;0;1h;14116,426206609667;206;0,42718446601941745;245,74234891268316
SOL/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;24;1h;13822,90152291261;221;0,7104072398190046;707,2456369698994
SOL/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;1.5;1,5;12;1h;14119,89788210756;241;0,5643153526970954;456,386202141035
XRP/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;24;1h;14885,663657429544;216;0,7314814814814815;383,61781964655347
XRP/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;1h;14370,162048734539;231;0,6883116883116883;501,31548803097394
LINK/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;12;1h;15085,447820489102;271;0,7564575645756457;416,4314060305678
LINK/USDC;Short;htf_crossover;HTF Crossover;14;4,0;;;1.0;1,0;12;1h;13979,657872471513;230;0,47391304347826085;359,88083199703215
SUI/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;2.0;2,0;12;1h;14782,514192606326;254;0,6889763779527559;307,568857443659
SUI/USDC;Short;htf_crossover;HTF Crossover;10;3,0;;;2.0;2,0;0;1h;13918,12019409112;258;0,624031007751938;1007,1928311118918
ZEC/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;24;1h;14390,042459601327;20;0,95;56,87003772794378
ZEC/USDC;Short;htf_crossover;HTF Crossover;14;4,0;;;1.5;1,5;24;1h;14058,922574736216;23;0,7391304347826086;156,91477937247691
TNSR/USDC;Long;htf_crossover;HTF Crossover;14;4,0;;;1.5;1,5;0;1h;14725,264768799489;282;0,5638297872340425;462,8979199630394
TNSR/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;24;1h;14560,185721226913;295;0,8033898305084746;840,9956696991721
ADA/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;12;1h;14327,11785100315;217;0,6820276497695853;289,9644729661377
ADA/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;12;1h;14395,992439730115;243;0,7283950617283951;700,1939915650782
ICP/USDC;Long;htf_crossover;HTF Crossover;10;3,0;;;2.0;2,0;24;1h;14672,268308616076;277;0,6462093862815884;267,0691548577179
ICP/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;1h;14535,593994819144;315;0,6952380952380952;378,8738700660033
BNB/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;24;1h;14444,520124823946;205;0,6682926829268293;180,74465497898564
BNB/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;1h;13658,356823484983;221;0,5158371040723982;637,9709204627779
LUNC/USDT;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;1h;14288,004808500289;241;0,6556016597510373;516,763724465427
LUNC/USDT;Short;htf_crossover;HTF Crossover;7;2,0;;;1.0;1,0;0;1h;14007,657475667687;210;0,47619047619047616;497,7803723494253
