Zeit;Entry;ExitZeit;ExitPreis;Stake;Fees;ExitReason;PnL (USD);Equity;Direction;MinHoldBars
2025-03-18 23:00:00+01:00;5,815;2025-03-20 00:00:00+01:00;5,993;525,0;1,05;Partial exit 3% (30%);15,02050730868443;14015,020507308684;Long;12
2025-03-18 23:00:00+01:00;5,815;2025-03-20 11:00:00+01:00;5,81;1225,0;2,45;Trend flip;-3,503310404127422;14011,517196904557;Long;12
2025-03-22 07:00:00+01:00;5,727;2025-03-23 01:00:00+01:00;5,727;1751,4396496130696;3,5028792992261395;Trend flip;-3,5028792992261395;14008,014317605332;Long;12
2025-03-23 07:00:00+01:00;5,816;2025-03-24 02:00:00+01:00;5,764;1751,0017897006664;3,502003579401333;Trend flip;-19,15745286833427;13988,856864736998;Long;12
2025-03-24 04:00:00+01:00;5,868;2025-03-24 07:00:00+01:00;6,046;524,5821324276374;1,0491642648552748;Partial exit 3% (30%);14,863518007148715;14003,720382744146;Long;12
2025-03-24 04:00:00+01:00;5,868;2025-03-25 04:00:00+01:00;5,958;1224,024975664487;2,4480499513289744;Trend flip;16,32533924597908;14020,045721990125;Long;12
2025-03-25 09:00:00+01:00;6,073;2025-03-26 02:00:00+01:00;6,3;525,7517145746297;1,0515034291492593;Partial exit 3% (30%);18,600339022429964;14038,646061012556;Long;12
2025-03-25 09:00:00+01:00;6,073;2025-03-26 04:00:00+01:00;6,127;1226,7540006741358;2,4535080013482715;Trend flip;8,45456313917578;14047,100624151732;Long;12
2025-03-27 03:00:00+01:00;6,185;2025-03-27 11:00:00+01:00;6,052059027933525;1755,8875780189665;3,511775156037933;ATR stop;-41,25298800345746;14005,847636148274;Long;12
2025-03-28 00:00:00+01:00;6,095;2025-03-28 05:00:00+01:00;5,994409929448621;1750,7309545185342;3,5014619090370687;ATR stop;-32,39500583545241;13973,45263031282;Long;12
2025-04-11 07:00:00+02:00;4,913;2025-04-11 22:00:00+02:00;5,065;524,0044736367307;1,0480089472734615;Partial exit 3% (30%);15,163812748794752;13988,616443061615;Long;12
2025-04-11 07:00:00+02:00;4,913;2025-04-12 15:00:00+02:00;5,2;524,0044736367307;1,0480089472734615;Partial exit 5% (30%);29,562470176223723;14018,17891323784;Long;12
2025-04-11 07:00:00+02:00;4,913;2025-04-13 04:00:00+02:00;5,16;698,672631515641;1,397345263031282;Trend flip;33,728268411783134;14051,907181649623;Long;12
2025-04-24 21:00:00+02:00;5,154;2025-04-25 10:00:00+02:00;5,35;526,9465193118608;1,0538930386237217;Partial exit 3% (30%);18,985206260003476;14070,892387909627;Long;12
