Symbol;Direction;Indicator;IndicatorDisplay;ParamA;ParamB;Length;Factor;ATRStopMult;ATRStopMultValue;MinHoldBars;HTF;FinalEquity;Trades;WinRate;MaxDrawdown
BTC/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;12;10h;14126,702500329806;9;0,7777777777777778;5,853699676765245
BTC/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;10h;14016,546655634334;3;0,6666666666666666;7,9948609613875306
ETH/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;12;10h;14038,519901668498;3;1,0;0,0
ETH/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;12;10h;14222,945298020491;13;1,0;0,0
SOL/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;1.0;1,0;0;10h;14089,337426240587;7;0,8571428571428571;11,600828613005433
SOL/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;10h;14069,8720712932;13;0,8461538461538461;74,21380743908958
XRP/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;10h;14087,096571131897;7;0,8571428571428571;20,045006749287495
XRP/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;10h;14186,386494347626;8;1,0;0,0
LINK/USDC;Long;htf_crossover;HTF Crossover;10;3,0;;;2.0;2,0;12;10h;14022,639555153743;8;0,75;42,62867387678489
LINK/USDC;Short;htf_crossover;HTF Crossover;14;3,0;;;1.0;1,0;24;10h;13982,266663713512;1;0,0;0,0
SUI/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;10h;14272,919552967369;12;1,0;0,0
SUI/USDC;Short;htf_crossover;HTF Crossover;14;3,0;;;1.0;1,0;24;10h;13964,289125332813;4;0,25;21,214082838299873
ZEC/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;10h;14000,0;0;0,0;0,0
ZEC/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;10h;14000,0;0;0,0;0,0
TNSR/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;10h;14128,855954670515;5;1,0;0,0
TNSR/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;10h;14094,462897817459;6;1,0;0,0
ADA/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;12;10h;14080,805919159939;9;0,7777777777777778;70,95899509360788
ADA/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;24;10h;14198,169359459675;11;1,0;0,0
ICP/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;10h;14127,909684304052;16;0,6875;19,66897999365756
ICP/USDC;Short;htf_crossover;HTF Crossover;10;2,0;;;1.5;1,5;12;10h;14076,555106849895;16;0,75;33,05474419549682
BNB/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;12;10h;14198,405390193673;13;0,8461538461538461;17,17599453645198
BNB/USDC;Short;htf_crossover;HTF Crossover;14;3,0;;;1.0;1,0;24;10h;13978,623484716869;5;0,2;32,80750711809742
LUNC/USDT;Long;htf_crossover;HTF Crossover;7;2,0;;;1.0;1,0;0;10h;14036,93177770332;5;0,6;27,79778204510876
LUNC/USDT;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;12;10h;14177,939892413546;8;1,0;0,0
