Symbol;Direction;Indicator;IndicatorDisplay;ParamA;ParamB;Length;Factor;ATRStopMult;ATRStopMultValue;MinHoldBars;HTF;FinalEquity;Trades;WinRate;MaxDrawdown
BTC/USDC;Long;htf_crossover;HTF Crossover;14;3,0;;;1.5;1,5;12;8h;14391,82636264841;32;0,8125;29,45801894160104
BTC/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;8h;14258,680819428919;37;0,8108108108108109;68,47285410427321
ETH/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;8h;14660,311072210181;45;0,8888888888888888;111,33007012318376
ETH/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;8h;14634,44040292751;42;0,9761904761904762;101,28099613521044
SOL/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;8h;14326,946876707583;27;0,8888888888888888;123,6002321386095
SOL/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;8h;14660,654496341667;41;0,9512195121951219;31,8858700226574
XRP/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;8h;14779,84358210874;46;0,9130434782608695;72,74046754761184
XRP/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;12;8h;14541,951638961844;37;0,9459459459459459;143,8776131272025
LINK/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;8h;14485,896571124966;43;0,8837209302325582;72,22982948810568
LINK/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;12;8h;14723,367842058471;36;0,9444444444444444;74,65212836652972
SUI/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;8h;14759,588080652187;42;0,9761904761904762;46,358171955020225
SUI/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;8h;14435,51374175458;36;0,9444444444444444;138,24901509227857
ZEC/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;8h;14024,386614932604;2;1,0;0,0
ZEC/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;8h;14039,129771628603;3;1,0;0,0
TNSR/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;8h;15331,30822642443;34;0,9411764705882353;87,06066992098931
TNSR/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;12;8h;14795,531707859092;38;0,9736842105263158;80,1595155950472
ADA/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;8h;14578,785682136637;38;0,9473684210526315;67,87091041054737
ADA/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;8h;14844,064229975582;46;0,9565217391304348;80,91334846478094
ICP/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;2.0;2,0;0;8h;14661,125558039139;40;0,875;67,42594002533588
ICP/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;1.5;1,5;0;8h;14352,05257674749;21;0,9047619047619048;16,647600665974096
BNB/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;8h;14579,322764458659;44;0,8863636363636364;35,09884224216694
BNB/USDC;Short;htf_crossover;HTF Crossover;14;4,0;;;2.0;2,0;12;8h;14315,115465594108;25;0,84;33,77226467907349
LUNC/USDT;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;8h;14443,27458465799;25;0,8;139,618399779014
LUNC/USDT;Short;htf_crossover;HTF Crossover;14;4,0;;;2.0;2,0;0;8h;14413,046486148207;34;0,8529411764705882;225,7366122634121
