Symbol;Direction;Indicator;IndicatorDisplay;ParamA;ParamB;Length;Factor;ATRStopMult;ATRStopMultValue;MinHoldBars;HTF;FinalEquity;Trades;WinRate;MaxDrawdown
BTC/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;12;4h;14634,743857039406;74;0,8108108108108109;80,93166498767641
BTC/USDC;Short;htf_crossover;HTF Crossover;14;4,0;;;2.0;2,0;0;4h;14509,58883172304;63;0,746031746031746;23,399638338809382
ETH/USDC;Long;htf_crossover;HTF Crossover;14;3,0;;;1.5;1,5;12;4h;14808,480075165236;71;0,7887323943661971;33,89886424198812
ETH/USDC;Short;htf_crossover;HTF Crossover;14;3,0;;;1.5;1,5;12;4h;15032,326061770389;72;0,8472222222222222;40,911615795917896
SOL/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;4h;14982,698572786694;94;0,8404255319148937;87,06308828683177
SOL/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;4h;14811,798078733955;87;0,8390804597701149;218,35091613236546
XRP/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;4h;14976,58350822224;90;0,8666666666666667;103,42276536829013
XRP/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;2.0;2,0;24;4h;14745,160541072994;67;0,8059701492537313;42,45402286020362
LINK/USDC;Long;htf_crossover;HTF Crossover;14;4,0;;;2.0;2,0;12;4h;15368,932549533325;97;0,8041237113402062;54,56290658892067
LINK/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;2.0;2,0;24;4h;15161,26214045854;90;0,8555555555555555;45,17340305859943
SUI/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;12;4h;15675,077588302307;94;0,9361702127659575;101,51571837606934
SUI/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;12;4h;14713,553838952841;90;0,9;230,65661476669993
ZEC/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;4h;14142,81660313545;6;1,0;0,0
ZEC/USDC;Short;htf_crossover;HTF Crossover;14;3,0;;;1.0;1,0;24;4h;14195,832418150281;7;0,8571428571428571;17,055054420710803
TNSR/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;12;4h;14910,334366348243;68;0,8823529411764706;147,65583964516554
TNSR/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;1.5;1,5;12;4h;15116,844547402361;71;0,8591549295774648;71,74239221770586
ADA/USDC;Long;htf_crossover;HTF Crossover;10;3,0;;;2.0;2,0;24;4h;15160,697906531097;80;0,8125;73,93211959153268
ADA/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;12;4h;15089,85568470116;81;0,9135802469135802;90,99467272716902
ICP/USDC;Long;htf_crossover;HTF Crossover;14;4,0;;;2.0;2,0;12;4h;14807,528742724558;78;0,7692307692307693;82,5025618413365
ICP/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;4h;15501,464812063476;98;0,9387755102040817;113,10469695295251
BNB/USDC;Long;htf_crossover;HTF Crossover;14;3,0;;;1.5;1,5;12;4h;14601,072466569964;65;0,7230769230769231;80,0546316031432
BNB/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;24;4h;15014,997251662562;82;0,8780487804878049;59,13034946706102
LUNC/USDT;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;4h;14997,910816801084;81;0,8641975308641975;74,52680853388847
LUNC/USDT;Short;htf_crossover;HTF Crossover;14;4,0;;;1.5;1,5;0;4h;14879,749260104572;69;0,7971014492753623;155,02358688079948
