Zeit;Entry;ExitZeit;ExitPreis;Stake;Fees;ExitReason;PnL (USD);Equity;Direction;MinHoldBars
2024-05-23 14:00:00+02:00;0,4773;2024-05-23 19:00:00+02:00;0,4615;300,0;0,6;Partial exit 3% (30%);9,33086109365178;14009,330861093651;Short;12
2024-05-23 14:00:00+02:00;0,4773;2024-05-23 23:00:00+02:00;0,467;700,0;1,4000000000000001;Trailing stop 5.0%;13,705803477896465;14023,036664571548;Short;12
2024-07-23 06:00:00+02:00;0,4235;2024-07-23 18:00:00+02:00;0,4044;300,49364281224746;0,6009872856244949;Partial exit 3% (30%);12,951382437430826;14035,98804700898;Short;12
2024-07-23 06:00:00+02:00;0,4235;2024-07-25 03:00:00+02:00;0,3969;300,49364281224746;0,6009872856244949;Partial exit 5% (30%);18,27299358522742;14054,261040594207;Short;12
2024-07-23 06:00:00+02:00;0,4235;2024-07-26 04:00:00+02:00;0,406;400,6581904163299;0,8013163808326598;Trailing stop 5.0%;15,754807190090023;14070,015847784296;Short;12
2024-08-16 02:00:00+02:00;0,3239;2024-08-20 18:00:00+02:00;0,3406;1005,0011319845926;2,0100022639691852;HTF crossover exit;-53,826979430201625;14016,188868354095;Short;12
2024-08-26 10:00:00+02:00;0,3798;2024-08-26 19:00:00+02:00;0,3678;300,34690432187347;0,600693808643747;Partial exit 3% (30%);8,88893981921956;14025,077808173315;Short;12
2024-08-26 10:00:00+02:00;0,3798;2024-08-27 23:00:00+02:00;0,3546;300,34690432187347;0,600693808643747;Partial exit 5% (30%);19,32753680986918;14044,405344983184;Short;12
2024-08-26 10:00:00+02:00;0,3798;2024-08-28 14:00:00+02:00;0,3595;400,46253909583123;0,8009250781916625;Trailing stop 5.0%;20,603470771322264;14065,008815754507;Short;12
2024-09-15 18:00:00+02:00;0,3442;2024-09-16 04:00:00+02:00;0,3311;301,39304605188227;0,6027860921037645;Partial exit 3% (30%);10,868012580992277;14075,876828335498;Short;12
2024-09-15 18:00:00+02:00;0,3442;2024-09-19 02:00:00+02:00;0,3501;703,2504407877253;1,4065008815754507;HTF crossover exit;-13,461055212335447;14062,415773123163;Short;12
