Symbol;Direction;Indicator;IndicatorDisplay;ParamA;ParamB;Length;Factor;ATRStopMult;ATRStopMultValue;MinHoldBars;HTF;FinalEquity;Trades;WinRate;MaxDrawdown
BTC/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;5h;14279,449363343145;24;0,875;34,13737849341487
BTC/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;5h;14042,809425557163;27;0,7777777777777778;145,26288783367818
ETH/USDC;Long;htf_crossover;HTF Crossover;14;3,0;;;1.0;1,0;24;5h;14055,795404150636;13;0,5384615384615384;88,95212713351611
ETH/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;5h;14513,997951525405;25;0,96;44,57306094119849
SOL/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;5h;14171,971236440586;21;0,9047619047619048;106,16332418040656
SOL/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;1.0;1,0;0;5h;14190,803507686764;21;0,7142857142857143;70,13430032204997
XRP/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;24;5h;14211,016149149507;29;0,8620689655172413;151,61387551488406
XRP/USDC;Short;htf_crossover;HTF Crossover;14;3,0;;;1.0;1,0;24;5h;13940,447419619986;24;0,4583333333333333;127,14998061769984
LINK/USDC;Long;htf_crossover;HTF Crossover;14;3,0;;;1.0;1,0;24;5h;14098,399614837945;13;0,6923076923076923;46,663987877425825
LINK/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;12;5h;14766,516698523526;38;0,9736842105263158;30,057441750777798
SUI/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;12;5h;14362,784001097418;25;0,92;125,94570313769145
SUI/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;2.0;2,0;24;5h;13931,067269185149;23;0,6086956521739131;131,3264160066301
ZEC/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;5h;14000,0;0;0,0;0,0
ZEC/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;5h;14000,0;0;0,0;0,0
TNSR/USDC;Long;htf_crossover;HTF Crossover;14;3,0;;;1.0;1,0;24;5h;13853,39094629137;7;0,0;132,45904169636924
TNSR/USDC;Short;htf_crossover;HTF Crossover;10;2,0;;;1.5;1,5;12;5h;14358,425952327321;22;0,8181818181818182;37,55554749752082
ADA/USDC;Long;htf_crossover;HTF Crossover;14;3,0;;;1.0;1,0;0;5h;14004,33656420875;7;0,42857142857142855;66,47620296138302
ADA/USDC;Short;htf_crossover;HTF Crossover;14;4,0;;;2.0;2,0;12;5h;14113,508204626547;19;0,6842105263157895;81,31442919879737
ICP/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;5h;14381,55798449583;26;0,9230769230769231;50,406903353126836
ICP/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;5h;14203,73178296174;25;0,88;109,49228559836229
BNB/USDC;Long;htf_crossover;HTF Crossover;14;4,0;;;2.0;2,0;12;5h;14166,506996489496;14;0,8571428571428571;17,74663965118998
BNB/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;5h;14237,761330384137;21;0,8095238095238095;63,30485548669458
LUNC/USDT;Long;htf_crossover;HTF Crossover;14;3,0;;;1.0;1,0;0;5h;13992,390290963047;13;0,46153846153846156;45,38050963547539
LUNC/USDT;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;12;5h;14157,774200056527;12;0,8333333333333334;94,6693331100796
