Phase,PhaseClassifier,PhaseHTF,PhaseLength,PhaseFactor,ParamA,ParamB,ATRStopMult,MinHoldBars,MaxHoldBars,Trades,PnL,WinRate,AvgPnL,Winners,DashTrades,DashPnL,DashWinRate,DashWinners
Down,jma,6h,20,4.0,20,-50,None,12,0,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,None,12,24,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,None,12,48,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,None,12,60,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,None,24,0,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,None,24,24,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,None,24,48,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,None,24,60,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,1.0,12,0,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,1.0,12,24,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,1.0,12,48,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,1.0,12,60,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,1.0,24,0,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,1.0,24,24,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,1.0,24,48,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,1.0,24,60,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,1.5,12,0,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,1.5,12,24,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,1.5,12,48,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,1.5,12,60,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,1.5,24,0,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,1.5,24,24,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,1.5,24,48,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,1.5,24,60,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,2.0,12,0,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,2.0,12,24,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,2.0,12,48,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,2.0,12,60,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,2.0,24,0,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,2.0,24,24,0,0.0,0.0,0.0,0,0,0,0,0
Down,jma,6h,20,4.0,20,-50,2.0,24,48,0,0.0,0.0,0.0,0,0,0,0,0
