Symbol,Direction,Indicator,IndicatorDisplay,ParamA,ParamB,Length,Factor,ATRStopMult,ATRStopMultValue,MinHoldBars,HTF,FinalEquity,Trades,WinRate,MaxDrawdown,Phase,SlowLength
BTC/EUR,Short,jma,Jurik Moving Average,50,0.0,,,1.0,1.0,24,8h,14181.453336778795,29,0.4827586206896552,35.689079808142196,0.0,
ETH/EUR,Long,jma,Jurik Moving Average,20,-50.0,,,2.0,2.0,24,12h,14285.297269144578,42,0.5714285714285714,96.59041420967515,-50.0,
ETH/EUR,Short,jma,Jurik Moving Average,50,0.0,,,None,,24,12h,14485.547268100483,31,0.8064516129032258,38.971728377271575,0.0,
XRP/EUR,Long,jma,Jurik Moving Average,30,-50.0,,,None,,12,12h,14239.449018069128,32,0.71875,53.31111632001557,-50.0,
XRP/EUR,Short,jma,Jurik Moving Average,30,-50.0,,,None,,24,4h,14670.015395181577,42,0.7380952380952381,57.45438743360319,-50.0,
LINK/EUR,Long,jma,Jurik Moving Average,30,50.0,,,1.0,1.0,12,1h,14217.870069687368,16,0.5,45.95213073985178,50.0,
LINK/EUR,Short,jma,Jurik Moving Average,20,50.0,,,None,,24,8h,14510.071411262255,52,0.7307692307692307,193.3188490470784,50.0,
LUNC/USDT,Long,jma,Jurik Moving Average,20,50.0,,,None,,12,12h,14621.657981690596,50,0.64,179.7277378531162,50.0,
LUNC/USDT,Short,jma,Jurik Moving Average,30,-50.0,,,None,,24,8h,14870.991247047714,47,0.7872340425531915,197.64756261429466,-50.0,
SOL/EUR,Long,jma,Jurik Moving Average,20,50.0,,,None,,12,8h,14197.964359928761,39,0.6410256410256411,136.73998440043943,50.0,
SOL/EUR,Short,jma,Jurik Moving Average,20,0.0,,,None,,24,12h,14627.915532963301,44,0.7954545454545454,135.47734828159446,0.0,
SUI/EUR,Long,jma,Jurik Moving Average,30,50.0,,,1.0,1.0,12,1h,14097.000569293878,14,0.6428571428571429,35.961383675987236,50.0,
SUI/EUR,Short,jma,Jurik Moving Average,50,50.0,,,None,,24,12h,15026.763536839908,39,0.8461538461538461,28.004491054494792,50.0,
TNSR/USDC,Long,jma,Jurik Moving Average,30,-50.0,,,None,,24,8h,14667.7723088637,28,0.6428571428571429,279.2748814590068,-50.0,
TNSR/USDC,Short,jma,Jurik Moving Average,30,50.0,,,None,,24,4h,15470.261702540232,65,0.8769230769230769,160.3629949207516,50.0,
ZEC/USDC,Long,jma,Jurik Moving Average,30,-50.0,,,None,,24,8h,14716.041503571696,23,0.8260869565217391,61.53908045568278,-50.0,
ZEC/USDC,Short,jma,Jurik Moving Average,20,50.0,,,None,,12,4h,14811.78863729673,41,0.7804878048780488,134.66993399074636,50.0,
