Phase,PhaseClassifier,PhaseHTF,PhaseLength,PhaseFactor,ParamA,ParamB,ATRStopMult,MinHoldBars,MaxHoldBars,Trades,PnL,WinRate,AvgPnL,Winners,DashTrades,DashPnL,DashWinRate,DashWinners
Down,jma,6h,10,3.0,50,50,1.0,0,60,39,-697.0,0.0,-17.87,0,8,-106.74,0.0,0
Down,jma,6h,10,3.0,50,50,1.0,0,24,39,-697.02,0.0,-17.87,0,8,-106.75,0.0,0
Down,jma,6h,10,3.0,50,-50,None,24,24,20,-705.9,35.0,-35.29,7,2,-31.13,50.0,1
Down,jma,6h,10,3.0,50,0,1.0,0,24,39,-719.69,0.0,-18.45,0,3,-31.13,0.0,0
Down,jma,6h,10,3.0,50,0,1.0,0,0,39,-719.75,0.0,-18.46,0,3,-31.14,0.0,0
Down,jma,6h,10,3.0,50,0,1.0,0,48,39,-719.75,0.0,-18.46,0,3,-31.14,0.0,0
Down,jma,6h,10,3.0,50,0,1.0,0,60,39,-719.75,0.0,-18.46,0,3,-31.14,0.0,0
Down,jma,6h,10,3.0,50,50,None,0,0,39,-728.32,0.0,-18.67,0,8,-107.05,0.0,0
Down,jma,6h,10,3.0,50,50,None,0,48,39,-728.32,0.0,-18.67,0,8,-107.05,0.0,0
Down,jma,6h,10,3.0,50,50,None,0,60,39,-728.32,0.0,-18.67,0,8,-107.05,0.0,0
Down,jma,6h,10,3.0,50,50,None,0,24,39,-728.33,0.0,-18.68,0,8,-107.05,0.0,0
Down,jma,6h,10,3.0,20,0,None,12,24,25,-731.09,24.0,-29.24,6,5,-52.79,60.0,3
Down,jma,6h,10,3.0,50,50,2.0,0,0,39,-732.87,0.0,-18.79,0,8,-107.05,0.0,0
Down,jma,6h,10,3.0,50,50,2.0,0,48,39,-732.87,0.0,-18.79,0,8,-107.05,0.0,0
Down,jma,6h,10,3.0,50,50,2.0,0,60,39,-732.87,0.0,-18.79,0,8,-107.05,0.0,0
Down,jma,6h,10,3.0,50,50,2.0,0,24,39,-732.89,0.0,-18.79,0,8,-107.06,0.0,0
Down,jma,6h,10,3.0,20,0,None,12,0,25,-735.57,24.0,-29.42,6,5,-52.63,60.0,3
Down,jma,6h,10,3.0,20,0,None,12,48,25,-735.57,24.0,-29.42,6,5,-52.63,60.0,3
Down,jma,6h,10,3.0,20,0,None,12,60,25,-735.57,24.0,-29.42,6,5,-52.63,60.0,3
Down,jma,6h,10,3.0,50,-50,None,12,24,23,-737.92,30.43,-32.08,7,2,-21.56,50.0,1
Down,jma,6h,10,3.0,50,0,None,0,24,39,-744.09,0.0,-19.08,0,3,-31.32,0.0,0
Down,jma,6h,10,3.0,50,0,None,0,0,39,-744.16,0.0,-19.08,0,3,-31.33,0.0,0
Down,jma,6h,10,3.0,50,0,None,0,48,39,-744.16,0.0,-19.08,0,3,-31.33,0.0,0
Down,jma,6h,10,3.0,50,0,None,0,60,39,-744.16,0.0,-19.08,0,3,-31.33,0.0,0
Down,jma,6h,10,3.0,50,-50,2.0,12,0,23,-747.72,17.39,-32.51,4,2,-17.09,50.0,1
Down,jma,6h,10,3.0,50,-50,2.0,12,48,23,-747.72,17.39,-32.51,4,2,-17.09,50.0,1
Down,jma,6h,10,3.0,50,-50,2.0,12,60,23,-747.72,17.39,-32.51,4,2,-17.09,50.0,1
Down,jma,6h,10,3.0,50,-50,2.0,12,24,23,-748.0,17.39,-32.52,4,2,-17.18,50.0,1
Down,jma,6h,10,3.0,20,50,1.0,12,24,23,-748.3,4.35,-32.53,1,4,-226.03,0.0,0
Down,jma,6h,10,3.0,50,0,2.0,0,24,39,-748.45,0.0,-19.19,0,3,-31.25,0.0,0
Down,jma,6h,10,3.0,20,50,1.0,12,0,23,-748.48,4.35,-32.54,1,4,-226.03,0.0,0
Down,jma,6h,10,3.0,20,50,1.0,12,48,23,-748.48,4.35,-32.54,1,4,-226.03,0.0,0
Down,jma,6h,10,3.0,20,50,1.0,12,60,23,-748.48,4.35,-32.54,1,4,-226.03,0.0,0
Down,jma,6h,10,3.0,50,0,2.0,0,0,39,-748.52,0.0,-19.19,0,3,-31.26,0.0,0
Down,jma,6h,10,3.0,50,0,2.0,0,48,39,-748.52,0.0,-19.19,0,3,-31.26,0.0,0
Down,jma,6h,10,3.0,50,0,2.0,0,60,39,-748.52,0.0,-19.19,0,3,-31.26,0.0,0
Down,jma,6h,10,3.0,30,0,1.0,24,0,22,-748.6,0.0,-34.03,0,5,-176.07,0.0,0
Down,jma,6h,10,3.0,30,0,1.0,24,48,22,-748.6,0.0,-34.03,0,5,-176.07,0.0,0
Down,jma,6h,10,3.0,30,0,1.0,24,60,22,-748.6,0.0,-34.03,0,5,-176.07,0.0,0
Down,jma,6h,10,3.0,30,50,1.0,24,0,20,-751.49,0.0,-37.57,0,5,-248.92,0.0,0
Down,jma,6h,10,3.0,30,50,1.0,24,48,20,-751.49,0.0,-37.57,0,5,-248.92,0.0,0
Down,jma,6h,10,3.0,30,50,1.0,24,60,20,-751.49,0.0,-37.57,0,5,-248.92,0.0,0
Down,jma,6h,10,3.0,50,0,1.5,0,24,39,-751.88,0.0,-19.28,0,3,-31.2,0.0,0
Down,jma,6h,10,3.0,50,0,1.5,0,0,39,-751.96,0.0,-19.28,0,3,-31.21,0.0,0
Down,jma,6h,10,3.0,50,0,1.5,0,48,39,-751.96,0.0,-19.28,0,3,-31.21,0.0,0
Down,jma,6h,10,3.0,50,0,1.5,0,60,39,-751.96,0.0,-19.28,0,3,-31.21,0.0,0
Down,jma,6h,10,3.0,50,50,1.5,0,0,39,-752.32,0.0,-19.29,0,8,-107.18,0.0,0
Down,jma,6h,10,3.0,50,50,1.5,0,48,39,-752.32,0.0,-19.29,0,8,-107.18,0.0,0
Down,jma,6h,10,3.0,50,50,1.5,0,60,39,-752.32,0.0,-19.29,0,8,-107.18,0.0,0
Down,jma,6h,10,3.0,50,50,1.5,0,24,39,-752.34,0.0,-19.29,0,8,-107.19,0.0,0
Down,jma,6h,10,3.0,20,50,None,24,24,19,-757.81,21.05,-39.88,4,3,-142.13,33.33,1
Down,jma,6h,10,3.0,20,50,1.0,24,0,21,-758.17,0.0,-36.1,0,4,-227.9,0.0,0
Down,jma,6h,10,3.0,20,50,1.0,24,48,21,-758.17,0.0,-36.1,0,4,-227.9,0.0,0
Down,jma,6h,10,3.0,20,50,1.0,24,60,21,-758.17,0.0,-36.1,0,4,-227.9,0.0,0
Down,jma,6h,10,3.0,30,0,1.0,24,24,23,-759.38,0.0,-33.02,0,5,-175.14,0.0,0
Down,jma,6h,10,3.0,30,50,1.0,24,24,21,-760.6,0.0,-36.22,0,5,-246.19,0.0,0
Down,jma,6h,10,3.0,20,50,1.0,24,24,22,-774.51,0.0,-35.21,0,4,-224.82,0.0,0
Down,jma,6h,10,3.0,30,50,1.0,12,24,22,-775.82,0.0,-35.26,0,5,-243.73,0.0,0
Down,jma,6h,10,3.0,30,50,1.0,12,0,22,-775.83,0.0,-35.26,0,5,-243.69,0.0,0
Down,jma,6h,10,3.0,30,50,1.0,12,48,22,-775.83,0.0,-35.26,0,5,-243.69,0.0,0
Down,jma,6h,10,3.0,30,50,1.0,12,60,22,-775.83,0.0,-35.26,0,5,-243.69,0.0,0
Down,jma,6h,10,3.0,50,0,1.0,24,24,26,-785.34,0.0,-30.21,0,3,-66.01,0.0,0
Down,jma,6h,10,3.0,50,0,1.0,24,48,26,-788.67,0.0,-30.33,0,3,-65.97,0.0,0
Down,jma,6h,10,3.0,50,0,1.0,24,0,26,-788.68,0.0,-30.33,0,3,-65.97,0.0,0
Down,jma,6h,10,3.0,50,0,1.0,24,60,26,-788.68,0.0,-30.33,0,3,-65.97,0.0,0
