Symbol;Direction;Indicator;Phase;ParamA;ParamB;ATRStopMult;MinHoldBars;HTF;Trades;PnL;WinRate
LUNC/USDT;short;Kaufman AMA;Down;30,0;40,0;2.0;24;2h;5;24226633572,19;100,0
LUNC/USDT;short;Supertrend;Down;10,0;4,0;None;24;1h;78;531106861493,2;82,05
SOL/USDC;long;HTF Crossover;Up;7,0;2,0;None;0;4h;48;301982744100,45;91,67
SOL/USDC;long;Jurik Moving Average;Up;20,0;0,0;None;12;12h;488;251931597344,81;66,19
SOL/USDC;long;Kaufman AMA;Up;20,0;30,0;None;24;12h;12;942827173,09;100,0
SOL/USDC;long;Supertrend;Up;14,0;4,0;None;24;4h;86;-27645939218,27;79,07
SOL/USDC;short;HTF Crossover;Down;7,0;2,0;None;12;2h;48;33002592834,25;89,58
SOL/USDC;short;Jurik Moving Average;Down;20,0;50,0;None;12;12h;4;18955453692,39;100,0
SOL/USDC;short;Kaufman AMA;Down;10,0;30,0;2.0;24;6h;9;6594294939,63;77,78
SOL/USDC;short;Supertrend;Down;7,0;2,0;None;12;1h;160;141412194245,59;68,75
SUI/USDC;long;HTF Crossover;Up;7,0;2,0;None;24;2h;54;496368945324,49;92,59
SUI/USDC;long;Jurik Moving Average;Up;20,0;0,0;None;12;12h;582;514547891008,81;63,92
SUI/USDC;long;Kaufman AMA;Up;10,0;50,0;2.0;12;4h;3;10840414,18;100,0
SUI/USDC;long;Supertrend;Up;14,0;4,0;None;24;2h;66;30885819481,09;81,82
SUI/USDC;short;HTF Crossover;Down;7,0;2,0;None;12;2h;69;163876774529,19;97,1
SUI/USDC;short;Jurik Moving Average;Down;20,0;-50,0;None;12;12h;589;507658714343,66;65,7
SUI/USDC;short;Kaufman AMA;Down;30,0;30,0;None;24;12h;4;-1483975834,7;75,0
SUI/USDC;short;Supertrend;Down;14,0;4,0;None;12;1h;72;326483160993,16;80,56
TNSR/USDC;long;HTF Crossover;Up;14,0;4,0;2.0;12;8h;43;72427231379,57;69,77
TNSR/USDC;long;Jurik Moving Average;Up;30,0;50,0;None;24;12h;5;74409834770,04;80,0
TNSR/USDC;long;Kaufman AMA;Up;10,0;40,0;1.0;24;8h;6;75991823426,77;50,0
TNSR/USDC;long;Supertrend;Up;10,0;2,0;1.0;24;4h;146;94969325666,94;44,52
TNSR/USDC;short;HTF Crossover;Down;7,0;2,0;None;12;2h;51;99823954434,52;94,12
TNSR/USDC;short;Jurik Moving Average;Down;20,0;0,0;None;12;8h;688;1101819077644,19;71,08
TNSR/USDC;short;Kaufman AMA;Down;10,0;50,0;None;12;12h;9;10540698921,24;88,89
TNSR/USDC;short;Supertrend;Down;7,0;3,0;None;24;2h;171;791631071561,89;78,95
XRP/USDC;long;HTF Crossover;Up;7,0;2,0;None;12;2h;56;358801338063,11;83,93
XRP/USDC;long;Jurik Moving Average;Up;30,0;-50,0;None;12;12h;617;502163129243,56;63,37
XRP/USDC;long;Kaufman AMA;Up;30,0;30,0;2.0;12;4h;8;-29229469833,3;50,0
XRP/USDC;long;Supertrend;Up;14,0;3,0;None;24;4h;113;56983988395,19;77,88
XRP/USDC;short;HTF Crossover;Down;7,0;2,0;1.5;0;2h;39;12265962734,33;76,92
XRP/USDC;short;Jurik Moving Average;Down;20,0;-50,0;1.5;24;12h;428;99801044032,66;53,27
XRP/USDC;short;Kaufman AMA;Down;20,0;50,0;2.0;12;12h;1;-2696449,85;0,0
XRP/USDC;short;Supertrend;Down;14,0;2,0;None;12;8h;128;168984213390,5;73,44
ZEC/USDC;long;HTF Crossover;Up;7,0;2,0;None;24;1h;5;293443532403,68;100,0
ZEC/USDC;long;Jurik Moving Average;Up;20,0;-50,0;None;12;8h;64;469948405469,0;59,38
ZEC/USDC;long;Supertrend;Up;7,0;3,0;None;24;1h;6;-16271423935,76;66,67
ZEC/USDC;short;HTF Crossover;Down;7,0;2,0;None;0;4h;2;28875550533,98;100,0
ZEC/USDC;short;Jurik Moving Average;Down;20,0;0,0;None;12;12h;57;405838296976,98;66,67
ZEC/USDC;short;Supertrend;Down;7,0;2,0;None;24;16h;12;333542585063,72;91,67
