Symbol;Direction;Indicator;IndicatorDisplay;ParamA;ParamB;Length;Factor;ATRStopMult;ATRStopMultValue;MinHoldBars;HTF;FinalEquity;Trades;WinRate;MaxDrawdown
BTC/USDC;Long;htf_crossover;HTF Crossover;14;4,0;;;1.0;1,0;12;11h;13973,368054204555;6;0,16666666666666666;16,784023552247163
BTC/USDC;Short;htf_crossover;HTF Crossover;14;3,0;;;1.0;1,0;24;11h;13964,20824828202;3;0,0;20,81015326855959
ETH/USDC;Long;htf_crossover;HTF Crossover;14;3,0;;;1.0;1,0;24;11h;13988,976797340918;3;0,3333333333333333;7,307996301389721
ETH/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;11h;14154,473049953696;14;0,8571428571428571;62,74939122758042
SOL/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;12;11h;14283,457834421533;21;0,9047619047619048;15,196022005924533
SOL/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;24;11h;14254,872235953071;20;0,95;31,1293486063023
XRP/USDC;Long;htf_crossover;HTF Crossover;14;3,0;;;1.0;1,0;24;11h;14127,91740005967;9;0,6666666666666666;13,653947322402018
XRP/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;11h;14298,812671825195;19;0,8421052631578947;27,548695028815928
LINK/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;11h;14033,082505431441;4;0,75;2,0050125025627494
LINK/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;11h;14056,461116147162;6;0,8333333333333334;52,62486628694387
SUI/USDC;Long;htf_crossover;HTF Crossover;14;3,0;;;1.0;1,0;24;11h;14020,085035438298;3;0,6666666666666666;5,400526702042043
SUI/USDC;Short;htf_crossover;HTF Crossover;14;4,0;;;1.0;1,0;12;11h;13911,084151512528;5;0,0;74,41905665858394
ZEC/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;11h;14000,0;0;0,0;0,0
ZEC/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;11h;14000,0;0;0,0;0,0
TNSR/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;11h;14397,411608684539;6;1,0;0,0
TNSR/USDC;Short;htf_crossover;HTF Crossover;14;3,0;;;1.0;1,0;24;11h;13946,242825857842;3;0,0;37,836760930513265
ADA/USDC;Long;htf_crossover;HTF Crossover;14;4,0;;;1.5;1,5;12;11h;14376,911637550098;10;0,8;20,708927847334053
ADA/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;12;11h;14091,400028425402;5;1,0;0,0
ICP/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;11h;14065,568250758342;3;1,0;0,0
ICP/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;24;11h;14011,685106971701;11;0,9090909090909091;0,0
BNB/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;11h;14033,997368483635;7;0,7142857142857143;19,038087667824584
BNB/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;11h;14134,663342556301;9;1,0;0,0
LUNC/USDT;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;11h;14119,259695432693;6;0,8333333333333334;2,0173252886743285
LUNC/USDT;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;11h;14000,0;0;0,0;0,0
