timestamp,open,high,low,close,volume
2025-11-11 13:00:00+01:00,2.1263,2.134,2.0534,2.064,2379355.2
2025-11-12 01:00:00+01:00,2.064,2.1089,2.0425,2.1066,1392731.4
2025-11-12 13:00:00+01:00,2.1064,2.1166,1.9994,2.06,2675094.0
2025-11-13 01:00:00+01:00,2.0596,2.1756,2.0561,2.1494,2791471.7
2025-11-13 13:00:00+01:00,2.1498,2.1657,1.9556,1.9975,4670676.8
2025-11-14 01:00:00+01:00,1.9968,2.0096,1.9293,1.952,2957452.8
2025-11-14 13:00:00+01:00,1.9503,2.0134,1.9117,1.9298,3749385.4
2025-11-15 01:00:00+01:00,1.9304,1.9807,1.9292,1.9428,1779511.1
2025-11-15 13:00:00+01:00,1.9426,1.9606,1.9025,1.9252,1870892.9
2025-11-16 01:00:00+01:00,1.9252,1.9613,1.8849,1.9232,1573583.6
2025-11-16 13:00:00+01:00,1.9236,1.9333,1.8533,1.9044,3424078.4
2025-11-17 01:00:00+01:00,1.905,1.9659,1.8906,1.9564,1335741.9
2025-11-17 13:00:00+01:00,1.9566,1.9882,1.8224,1.8625,3828684.5
2025-11-18 01:00:00+01:00,1.8624,1.898,1.8132,1.8815,2320016.3
2025-11-18 13:00:00+01:00,1.8818,1.9337,1.8516,1.9128,2470985.5
2025-11-19 01:00:00+01:00,1.9131,1.916,1.8348,1.8387,1952455.2
2025-11-19 13:00:00+01:00,1.8389,1.8597,1.7561,1.8269,4347114.2
2025-11-20 01:00:00+01:00,1.8266,1.8647,1.8159,1.8355,1914184.0
2025-11-20 13:00:00+01:00,1.8358,1.858,1.7108,1.7324,4071720.0
2025-11-21 01:00:00+01:00,1.7316,1.758,1.6011,1.628,4734702.7
2025-11-21 13:00:00+01:00,1.6283,1.7359,1.5803,1.694,7141833.0
2025-11-22 01:00:00+01:00,1.6941,1.7048,1.6454,1.6666,1596260.8
2025-11-22 13:00:00+01:00,1.6663,1.708,1.6415,1.6944,1423581.1
2025-11-23 01:00:00+01:00,1.6942,1.8038,1.6935,1.7669,1836863.6
2025-11-23 13:00:00+01:00,1.767,1.814,1.7659,1.7809,2127323.6
2025-11-24 01:00:00+01:00,1.7805,1.8307,1.7594,1.7827,2025905.7
2025-11-24 13:00:00+01:00,1.7825,1.9842,1.7745,1.9336,5000998.1
2025-11-25 01:00:00+01:00,1.9331,1.9657,1.8949,1.9055,2226853.4
2025-11-25 13:00:00+01:00,1.9058,1.936,1.8557,1.904,2465739.6
2025-11-26 01:00:00+01:00,1.9039,1.9114,1.874,1.8767,1362783.9
2025-11-26 13:00:00+01:00,1.8771,1.9453,1.854,1.9167,2661584.8
2025-11-27 01:00:00+01:00,1.9158,1.9252,1.8869,1.8907,1323046.9
2025-11-27 13:00:00+01:00,1.8906,1.9268,1.8744,1.8971,1372454.4
2025-11-28 01:00:00+01:00,1.897,1.9432,1.8713,1.901,1849352.8
2025-11-28 13:00:00+01:00,1.9004,1.9651,1.8612,1.8805,3310607.8
2025-11-29 01:00:00+01:00,1.8814,1.9116,1.87,1.9092,626000.3
2025-11-29 13:00:00+01:00,1.9092,1.9191,1.8884,1.9005,1085089.6
2025-11-30 01:00:00+01:00,1.8995,1.9099,1.8849,1.8894,606523.9
2025-11-30 13:00:00+01:00,1.8895,1.9116,1.8552,1.8582,1022022.5
2025-12-01 01:00:00+01:00,1.8583,1.8633,1.7394,1.7491,2790007.1
2025-12-01 13:00:00+01:00,1.7495,1.7625,1.706,1.7492,3259430.2
2025-12-02 01:00:00+01:00,1.7488,1.7603,1.7185,1.7539,1275247.3
2025-12-02 13:00:00+01:00,1.755,1.88,1.7455,1.8518,3002093.8
2025-12-03 01:00:00+01:00,1.852,1.906,1.8413,1.8666,1266049.0
2025-12-03 13:00:00+01:00,1.8667,1.8968,1.8378,1.8831,1684940.3
2025-12-04 01:00:00+01:00,1.8844,1.8987,1.8356,1.8426,1313532.8
2025-12-04 13:00:00+01:00,1.8431,1.851,1.777,1.8006,2417473.4
2025-12-05 01:00:00+01:00,1.7996,1.8146,1.7639,1.7777,1162868.2
2025-12-05 13:00:00+01:00,1.7778,1.8041,1.7304,1.7495,1888821.4
2025-12-06 01:00:00+01:00,1.749,1.7636,1.7336,1.7484,670676.6
2025-12-06 13:00:00+01:00,1.7484,1.7601,1.738,1.747,677748.9
2025-12-07 01:00:00+01:00,1.7472,1.7835,1.7412,1.749,648114.9
2025-12-07 13:00:00+01:00,1.7487,1.8149,1.711,1.7571,2319858.1
2025-12-08 01:00:00+01:00,1.754,1.8225,1.7466,1.7947,1104590.6
2025-12-08 13:00:00+01:00,1.7959,1.8148,1.7738,1.7813,1321705.5
2025-12-09 01:00:00+01:00,1.7811,1.7895,1.7537,1.7774,609318.8
2025-12-09 13:00:00+01:00,1.7778,1.8711,1.7625,1.8116,2145450.7
2025-12-10 01:00:00+01:00,1.8104,1.8138,1.7754,1.7822,1028157.6
2025-12-10 13:00:00+01:00,1.7817,1.81,1.7416,1.746,2475549.5
2025-12-11 01:00:00+01:00,1.7449,1.7497,1.705,1.7154,1414673.2
2025-12-11 13:00:00+01:00,1.7153,1.7628,1.6858,1.7336,2277465.7
2025-12-12 01:00:00+01:00,1.7328,1.7453,1.7175,1.7423,713599.9
2025-12-12 13:00:00+01:00,1.7422,1.7464,1.6786,1.7118,1634626.1
2025-12-13 01:00:00+01:00,1.7122,1.7466,1.7115,1.734,573523.8
2025-12-13 13:00:00+01:00,1.7338,1.75,1.7122,1.7245,705017.0
2025-12-14 01:00:00+01:00,1.7244,1.7308,1.6974,1.7066,539857.4
2025-12-14 13:00:00+01:00,1.7053,1.7122,1.6654,1.6868,1080398.7
2025-12-15 01:00:00+01:00,1.6864,1.7168,1.6849,1.6925,783528.9
2025-12-15 13:00:00+01:00,1.6925,1.6928,1.55,1.6152,3129127.9
2025-12-16 01:00:00+01:00,1.6158,1.6385,1.5763,1.6334,1630180.2
2025-12-16 13:00:00+01:00,1.633,1.6548,1.6131,1.642,2291815.0
2025-12-17 01:00:00+01:00,1.6406,1.6504,1.619,1.6332,894429.1
2025-12-17 13:00:00+01:00,1.6332,1.6908,1.5729,1.5849,2991061.1
