timestamp,open,high,low,close,volume
2024-11-22 01:00:00+01:00,461.6,999.9,461.6,511.3,430.6675
2024-11-23 01:00:00+01:00,513.4,547.0,498.1,518.1,1372.3707
2024-11-24 01:00:00+01:00,525.3,553.0,486.9,526.3,1017.3033
2024-11-25 01:00:00+01:00,528.8,566.3,493.1,547.1,1954.342
2024-11-26 01:00:00+01:00,547.8,574.1,503.4,558.9,1667.0129
2024-11-27 01:00:00+01:00,556.8,594.0,515.0,562.2,1119.7736
2024-11-28 01:00:00+01:00,561.8,616.0,550.0,595.3,1032.7874
2024-11-29 01:00:00+01:00,597.1,672.0,584.3,619.0,2685.6169
2024-11-30 01:00:00+01:00,616.5,687.0,609.2,678.4,3390.1924
2024-12-01 01:00:00+01:00,678.4,680.5,626.9,637.8,1410.6552
2024-12-02 01:00:00+01:00,636.7,646.2,565.0,607.5,3355.0174
2024-12-03 01:00:00+01:00,606.5,629.7,567.1,619.6,2548.4479
2024-12-04 01:00:00+01:00,621.2,728.5,600.0,657.0,3294.7362
2024-12-05 01:00:00+01:00,657.4,724.9,624.7,681.5,6193.6081
2024-12-06 01:00:00+01:00,678.5,748.8,673.1,703.9,3320.6978
2024-12-07 01:00:00+01:00,707.8,720.0,686.6,699.0,1468.9662
2024-12-08 01:00:00+01:00,700.0,716.5,676.1,713.9,3343.8916
2024-12-09 01:00:00+01:00,712.0,737.0,402.0,602.4,7311.6277
2024-12-10 01:00:00+01:00,597.6,613.7,529.9,575.6,4290.5652
2024-12-11 01:00:00+01:00,574.1,620.5,551.4,601.9,2494.9634
2024-12-12 01:00:00+01:00,601.6,645.0,566.4,577.9,5605.3364
2024-12-13 01:00:00+01:00,577.0,591.8,562.3,578.3,5331.4798
2024-12-14 01:00:00+01:00,577.1,587.5,538.3,560.6,2231.4639
2024-12-15 01:00:00+01:00,560.3,576.6,540.0,571.8,1740.3413
2024-12-16 01:00:00+01:00,574.5,585.4,535.0,541.5,3141.3459
2024-12-17 01:00:00+01:00,541.7,544.1,509.6,518.6,4555.8362
2024-12-18 01:00:00+01:00,519.6,538.3,480.0,500.2,4310.1799
2024-12-19 01:00:00+01:00,499.3,505.4,432.0,447.0,15023.0909
2024-12-20 01:00:00+01:00,447.5,480.4,399.0,472.9,10688.0968
2024-12-21 01:00:00+01:00,472.1,508.0,441.0,454.7,3007.9938
