Symbol;Direction;Indicator;IndicatorDisplay;ParamA;ParamB;Length;Factor;ATRStopMult;ATRStopMultValue;MinHoldBars;HTF;FinalEquity;Trades;WinRate;MaxDrawdown
BTC/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;2h;14807,548137177791;147;0,6802721088435374;103,44758451997586
BTC/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;2.0;2,0;12;2h;14446,1845729548;127;0,6377952755905512;114,89721814099357
ETH/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;12;2h;15088,077477253835;155;0,7548387096774194;172,16115870151407
ETH/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;2h;14675,076729714863;128;0,703125;179,99720594293467
SOL/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;2h;15037,666395481076;161;0,7515527950310559;195,63568093035792
SOL/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;12;2h;15233,209466598786;160;0,79375;145,1592340283314
XRP/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;12;2h;15246,131638875573;150;0,7466666666666667;137,15134519345702
XRP/USDC;Short;htf_crossover;HTF Crossover;10;3,0;;;2.0;2,0;12;2h;15346,689848959064;146;0,7465753424657534;86,16098110128587
LINK/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;2h;15267,323274405493;182;0,7857142857142857;187,19449714360053
LINK/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;12;2h;15137,468215742201;165;0,806060606060606;256,05722690023504
SUI/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;24;2h;15925,435395801982;165;0,8363636363636363;218,7521445383536
SUI/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;2h;15309,718493737255;158;0,8481012658227848;216,83167077529833
ZEC/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;1.0;1,0;0;2h;14315,536157055993;21;0,8095238095238095;20,13111576828851
ZEC/USDC;Short;htf_crossover;HTF Crossover;10;2,0;;;1.0;1,0;0;2h;14108,035501897422;14;0,6428571428571429;81,21812892182788
TNSR/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;2h;15907,897850953139;178;0,8258426966292135;448,6533588034581
TNSR/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;12;2h;15377,325279442062;177;0,8135593220338984;210,86706880642487
ADA/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;2h;15032,71185059213;154;0,7532467532467533;156,0625549213455
ADA/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;2h;15384,59164183164;158;0,8164556962025317;206,72434297519067
ICP/USDC;Long;htf_crossover;HTF Crossover;10;2,0;;;1.0;1,0;0;2h;15003,786590686857;148;0,6081081081081081;82,0095444842209
ICP/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;2h;15047,311442114938;190;0,7894736842105263;275,75189496969324
BNB/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;2h;14987,103378584441;150;0,7266666666666667;115,74685462842717
BNB/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;1.5;1,5;24;2h;14591,734353954682;134;0,6343283582089553;113,43578933872595
LUNC/USDT;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;24;2h;14885,119422794869;120;0,8166666666666667;357,5577267941371
LUNC/USDT;Short;htf_crossover;HTF Crossover;14;4,0;;;1.5;1,5;0;2h;15460,860490932975;137;0,781021897810219;204,29151853777148
