Symbol;Direction;Indicator;IndicatorDisplay;ParamA;ParamB;Length;Factor;ATRStopMult;ATRStopMultValue;MinHoldBars;HTF;FinalEquity;Trades;WinRate;MaxDrawdown
BTC/USDC;Long;htf_crossover;HTF Crossover;10;2,0;;;1.5;1,5;12;9h;14007,894414348408;6;0,5;6,8724738645978505
BTC/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;9h;14091,227035139183;9;0,8888888888888888;6,849054222937411
ETH/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;9h;14130,517597668451;13;0,9230769230769231;63,73673148540729
ETH/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;2.0;2,0;24;9h;14005,887419098342;9;0,6666666666666666;66,57804179607774
SOL/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;1.0;1,0;0;9h;13935,833296288869;4;0,0;38,32604064453335
SOL/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;9h;14120,579569093978;6;0,8333333333333334;20,317700433981372
XRP/USDC;Long;htf_crossover;HTF Crossover;14;3,0;;;1.0;1,0;0;9h;13967,824100381631;7;0,2857142857142857;27,939465245453903
XRP/USDC;Short;htf_crossover;HTF Crossover;14;4,0;;;1.5;1,5;12;9h;14097,47448996871;11;0,8181818181818182;24,30155179014764
LINK/USDC;Long;htf_crossover;HTF Crossover;14;3,0;;;1.5;1,5;12;9h;14034,86611688606;9;0,6666666666666666;53,42120763965613
LINK/USDC;Short;htf_crossover;HTF Crossover;14;4,0;;;1.0;1,0;12;9h;13964,72048882301;10;0,3;106,23180020070686
SUI/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;9h;14149,359675968095;6;1,0;0,0
SUI/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;24;9h;14225,610906983904;13;1,0;0,0
ZEC/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;9h;14000,0;0;0,0;0,0
ZEC/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;9h;14076,820849642849;3;1,0;0,0
TNSR/USDC;Long;htf_crossover;HTF Crossover;14;3,0;;;1.0;1,0;24;9h;13978,269102543398;1;0,0;0,0
TNSR/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;9h;14137,778467131258;4;1,0;0,0
ADA/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;9h;14016,889565215222;9;0,7777777777777778;39,551232177424026
ADA/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;1.5;1,5;0;9h;13933,496500891328;7;0,2857142857142857;67,70360622258158
ICP/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;9h;14067,462124048421;3;1,0;0,0
ICP/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;12;9h;14239,50445590942;19;0,9473684210526315;72,49361316620707
BNB/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;9h;14033,250636727222;9;0,7777777777777778;82,51040977347475
BNB/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;2.0;2,0;24;9h;14015,895110253494;9;0,5555555555555556;54,86332694252087
LUNC/USDT;Long;htf_crossover;HTF Crossover;14;3,0;;;1.5;1,5;12;9h;14053,595269566591;4;0,5;27,845038520701564
LUNC/USDT;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;12;9h;14043,412186128606;9;0,8888888888888888;0,0
